Year,Google Rev,Total Rev,Google Share
2001,0.07,8.61,0.0081300813
2002,0.41,9.78,0.0419222904
2003,1.42,11.8,0.1203389831
2004,3.14,14.73,0.2131704005
2005,6.07,20.86,0.290987536
2006,10.49,27.86,0.3765254846
2007,16.41,38.63,0.4247993787
2008,21.13,48.41,0.4364800661
2009,22.89,53.48,0.4280104712
2010,28.24,64.69,0.4365435152
2011,36.53,72.44,0.5042794036
2012,43.69,86.53,0.5049115914
2013,51.07,103.05,0.4955846676
2014,59.62,125.73,0.4741907262
2015,67.39,151.48,0.4448772115
2016,79.38,179.13,0.4431418523
2017,95.38,203.59,0.4684905938
